iter	Passed	Remaining
148	426	2438
149	428	2427
150	430	2418
151	431	2406
152	434	2403
153	436	2397
154	437	2385
155	439	2380
156	442	2374
157	443	2364
158	446	2362
159	448	2356
160	449	2344
161	451	2335
162	452	2323
163	454	2314
164	456	2308
165	457	2300
166	460	2296
167	461	2285
168	464	2282
169	466	2277
170	468	2270
171	470	2266
172	472	2260
173	474	2252
174	475	2241
175	478	2239
176	479	2231
177	483	2231
178	486	2230
179	487	2222
180	489	2213
181	490	2206
182	492	2200
183	493	2190
184	495	2182
185	497	2175
186	498	2166
187	499	2156
188	501	2152
189	503	2147
190	505	2140
191	506	2131
192	508	2124
193	510	2121
194	512	2114
195	513	2105
196	515	2103
197	517	2095
198	518	2088
199	520	2081
200	521	2074
201	524	2070
202	525	2062
203	528	2062
204	532	2066
205	534	2060
206	536	2055
207	537	2046
208	538	2038
209	539	2031
210	541	2024
211	542	2015
212	544	2012
213	548	2013
214	549	2007
215	550	1999
216	554	1999
217	556	1996
218	558	1993
219	561	1990
220	563	1985
221	565	1981
222	566	1973
223	572	1984
224	576	1985
225	577	1979
226	579	1973
227	580	1966
228	583	1965
229	585	1960
230	588	1960
231	591	1958
232	593	1952
233	594	1946
234	595	1938
235	596	1932
236	601	1936
237	604	1936
238	609	1939
239	611	1934
240	612	1930
241	616	1932
242	617	1924
243	619	1920
244	622	1919
245	624	1914
246	625	1906
247	628	1906
248	630	1902
249	631	1895
250	635	1896
251	637	1893
252	639	1886
253	640	1881
254	643	1878
255	644	1873
256	646	1869
257	649	1868
258	652	1867
259	654	1861
260	657	1861
261	660	1859
262	662	1856
263	666	1858
264	668	1854
265	669	1848
266	671	1844
267	673	1839
268	675	1835
269	676	1828
270	678	1824
271	682	1826
272	684	1822
273	685	1817
274	687	1811
275	688	1806
276	689	1799
277	690	1794
278	692	1789
279	693	1784
280	695	1778
281	696	1773
282	697	1767
283	700	1765
284	701	1760
285	703	1755
286	704	1749
287	706	1747
288	707	1741
289	709	1736
290	710	1730
291	711	1725
292	712	1720
293	714	1714
294	715	1710
295	716	1705
296	719	1703
297	720	1698
298	723	1695
299	725	1691
300	727	1688
301	728	1683
302	729	1678
303	733	1678
304	734	1673
305	736	1669
306	739	1668
307	740	1663
308	743	1662
309	744	1657
310	746	1654
311	749	1652
312	752	1651
313	754	1647
314	755	1642
315	756	1637
316	758	1633
317	759	1629
318	761	1625
319	763	1621
320	767	1623
321	769	1620
322	771	1616
323	774	1615
324	777	1614
325	779	1612
326	781	1608
327	784	1607
328	786	1603
329	790	1605
330	793	1602
331	796	1602
332	798	1598
333	801	1597
334	804	1596
335	806	1593
336	808	1591
337	811	1588
338	812	1584
339	814	1580
340	815	1576
341	819	1576
342	822	1576
343	825	1575
344	827	1571
345	829	1566
346	832	1566
347	838	1571
348	840	1568
349	842	1564
350	843	1560
351	846	1557
352	848	1556
353	853	1557
354	855	1554
355	857	1551
356	859	1548
357	860	1543
358	864	1542
359	866	1540
360	868	1537
361	871	1535
362	873	1533
363	874	1528
364	876	1524
365	878	1521
366	881	1521
367	883	1517
368	884	1512
369	886	1509
370	889	1508
371	891	1504
372	892	1500
373	893	1495
374	895	1492
375	897	1489
376	899	1486
377	901	1484
378	904	1481
379	905	1476
380	906	1472
381	911	1474
382	913	1471
383	915	1469
384	917	1466
385	919	1462
386	922	1461
387	925	1460
388	926	1455
389	930	1455
390	934	1454
391	935	1451
392	936	1446
393	937	1442
394	941	1442
395	943	1439
396	946	1437
397	948	1434
398	950	1431
399	951	1427
400	955	1427
401	958	1426
402	961	1423
403	962	1419
404	964	1417
405	966	1413
406	967	1410
407	968	1405
408	970	1402
409	971	1398
410	976	1399
411	979	1397
412	981	1395
413	982	1390
414	985	1389
415	986	1385
416	990	1385
417	994	1384
418	997	1382
419	999	1379
420	1001	1376
421	1004	1376
422	1007	1373
423	1008	1369
424	1011	1369
425	1013	1365
426	1016	1364
427	1019	1362
428	1022	1360
429	1024	1357
430	1026	1354
431	1027	1350
432	1028	1347
433	1030	1343
434	1034	1343
435	1038	1342
436	1040	1340
437	1044	1339
438	1046	1337
439	1048	1334
440	1050	1331
441	1052	1328
442	1053	1324
443	1055	1321
444	1056	1317
445	1058	1314
446	1059	1310
447	1061	1307
448	1063	1305
449	1066	1303
450	1067	1299
